iter	Passed	Remaining
0	0	58
1	1	54
2	1	51
3	1	46
4	2	45
5	2	44
6	3	43
7	3	42
8	4	42
9	4	41
10	5	41
11	5	40
12	6	40
13	6	39
14	6	39
15	7	38
16	7	38
17	8	37
18	8	37
19	9	36
20	9	36
21	10	36
22	10	35
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	13	32
30	14	32
31	14	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	28
38	18	28
39	18	27
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	24
46	21	24
47	22	23
48	22	23
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	20
55	26	20
56	26	20
57	27	19
58	27	19
59	27	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	31	15
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	36	10
77	36	10
78	37	9
79	37	9
80	38	9
81	39	8
82	39	8
83	39	7
84	40	7
85	40	6
86	41	6
87	41	5
88	42	5
89	42	4
90	43	4
91	43	3
92	44	3
93	44	2
94	45	2
95	45	1
96	46	1
97	46	0
98	47	0
99	47	0
